Translation Key,Translated Value
ammo-vog-25,Граната ВОГ-25
isg_scientific_outfit_description,Вариант «СЕВЫ», производимый одним из оборонных киевских НИИ по специальному заказу. Костюм имеет замкнутую систему дыхания и внешнее изоляционное покрытие, что обеспечивает лучшую защиту от радиации и аномальных воздействий по сравнению с другими вариантами «СЕВЫ». Тем не менее, имеющийся бронежилет не так хорош, а потому не сможет надлежащим образом защитить владельца в случае перестрелок.\n \n
st_letter_to_outside_name,Письмо Натали
st_data_export_is_junk,Мусорный
st_bolt_carrier_6,Продольно-скользящий затвор с болтовым запиранием (Продольно-скользящий затвор)
st_itm_advancedkit_name,Инструменты для тонкой работы
mutant_boar_chop_description,Самое популярное мясо на территории Зоны отчуждения. Весьма питательное и не сильно загрязнённое. Учёные уже достаточно много провели исследований над принесёнными сталкерами образцами, поэтому спрос как таковой на такие куски мяса упал. Из куска мяса при нехитрых манипуляциях можно добыть немного животного жира, пригодного для смазки оружия.\n \n %c[d_red]ВНИМАНИЕ:\n \n%c[default]Сталкерам рекомендуется воздержаться от употребления такого рода мяса животных и мутантов в Зоне в сыром виде, так как оно наверняка заражено трихинеллёзом или бруцеллёзом. Эти заболевания передаются при употреблении заражённого мяса. Симптомы включают в себя лихорадку, усталость и потерю аппетита, что в суровых условиях Зоны весьма опасно. Абсцессы и странные опухоли на мясе дают понять, что оно заражено и следует его выбросить.\n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] мясо мутанта «низкого происхождения»\n %c[d_cyan] • %c[ui_gray_2] возможно приготовить\n %c[d_red] • %c[ui_gray_2] ядовитая пища\n
exo_merc_urban_outfit_name,ТБ-1 наёмников «Город»
gamma_fire_wound_cap,Баллистический Предел
l13_generators,Генераторы
st_gamma_recipe_expert_1,Руководство выживания Том 3
st_data_export_post_heal_torso,Полностью торс
st_wpn_glock17,Glock 17
st_wpn_ks23_kaban_descr,Модернизированный КС-23 с отделяемым металлическим прикладом. Укороченный вариант 23 мм — советского многофункционного полицейского помпового дробовика, предназначенного для пресечения массовых беспорядков, избирательного силового, психического и химического воздействия на правонарушителей. Интересно, что имея калибр более 20 мм и нарезной ствол, КС-23 должен относиться не к стрелковому оружию, а к малокалиберной артиллерии.\n \n %c[0,255,255,255]ПРОИЗВОДСТВО:\n %c[d_cyan] • %c[0,255,255,255]Страна: %c[ui_gray_1]СССР\n %c[d_cyan] • %c[0,255,255,255]Производство: %c[ui_gray_1]Тульский Оружейный Завод\n %c[d_cyan] • %c[0,255,255,255]Год: %c[ui_gray_1]1971\n
st_af_frames_name,Алюминиевые рамки
st_data_export_bonus_mutant_part_chance,Шанс бонусной части мутанта
st_data_export_can_be_crafted,Можно скрафтить
st_data_export_eat_health_change,Изменение здоровья
stalker_autumn_outfit_description,Произведённый в Зоне местными умельцами комбинезон на базе «Зари». Представленный вариант пользуется большим интересом среди новоиспечённых охотников за артефактами или головами, так как его особая ткань и материалы позволяют не только безопасно передвигаться через зоны химического загрязнения и поля аномалий, но и даже оставаться в их пределах на гораздо продолжительные периоды времени по сравнению с аналогичными комбинезонами сталкеров. Кроме того, «Лесная заря» может похвастаться чуть повышенной эргономичностью - и это-то с учётом улучшенной баллистической защиты. И хотя стоимость техобслуживания данного комбинезона несколько выше, чем у «Зари», он всё равно является хорошим выбором для тех, кто не привык экономить на своём здоровье.\n \n
mutant_lurker_meat_description,Большой кусок мяса кикиморы. Весьма питательный и практически незагрязнённый. Может заинтересовать учёных. Из куска мяса при нехитрых манипуляциях можно также добыть немного животного жира, пригодного для смазки оружия.\n \n %c[d_red]ВНИМАНИЕ:\n \n%c[default]Сталкерам рекомендуется воздержаться от употребления такого рода мяса животных и мутантов в Зоне в сыром виде, так как оно наверняка заражено трихинеллёзом или бруцеллёзом. Эти заболевания передаются при употреблении заражённого мяса. Симптомы включают в себя лихорадку, усталость и потерю аппетита, что в суровых условиях Зоны весьма опасно. Абсцессы и странные опухоли на мясе дают понять, что оно заражено и следует его выбросить.\n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] мясо мутанта «высокого происхождения»\n %c[d_cyan] • %c[ui_gray_2] возможно приготовить\n %c[d_red] • %c[ui_gray_2] ядовитая пища\n
st_powder_pistol,Порох для пистолетов/дробовиков
st_prt_w_p_trigger_1,Однорежимный УСМ (Спусковой крючок)
st_wpn_aks74_descr,Будучи более точным и надёжным автоматом, нежели АКМ, АК-74 до сих пор используется в большинстве стран бывшего СССР. АКС-74 оснащён складывающимся металлическим прикладом и предназначен в первую очередь для десантно-штурмовой пехоты. В Зоне это основное оружие военных сталкеров и многих одиночек.\n \n %c[0,255,255,255]ПРОИЗВОДСТВО:\n %c[d_cyan] • %c[0,255,255,255]Страна: %c[ui_gray_1]СССР\n %c[d_cyan] • %c[0,255,255,255]Производство: %c[ui_gray_1]Izhmash\n %c[d_cyan] • %c[0,255,255,255]Год: %c[ui_gray_1]1970\n
light_merc_outfit_description,Хорошо сохранившийся костюм с бронежилетом IBA «Перехватчик», напрямую проданный ЧВК и наёмникам рядом Западных спонсоров. Данный комплект экипировки хоть и несколько неудобный, но определённо лучше, чем стандартный вариант, широко распространённый в Зоне. Предназначен для обеспечения защиты наёмников во время выполнения их контрактов, в первую очередь, предусматривающих проведение атак на укреплённые позиции противника на территории Зоны.\n \n
st_wpn_pl15_pl15_scolaz,Пистолет Лебедева ПЛ-15 "Тактик"
st_wpn_pm_actor,Наградной ПМ
mutant_heart_chimera,Сердце химеры
st_wpn_fnx45_custom,Заказной FNX-45 Tactical
