Translation Key,Translated Value
ammo-vog-25,VOG-25 grenade
st_wpn_spas12_descr_new,A combat shotgun with both pump-action and semi-automatic firing modes, designed for military, law enforcement, and tactical applications. Its distinctive folding stock and robust construction allow for adaptability in both close-quarters combat and breaching operations. Known for its aggressive design and versatility, it has become one of the most recognizable shotguns in pop culture and military history.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]Italy\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Franchi\n
st_wpn_vz61_freedom,Skorpion vz.68 "Freedom"
st_letter_to_outside_name,Letter to Natalie
st_data_export_is_junk,Is junk
st_hand_rolling_tobacco_descr,Loose tobacco intended for hand-rolling, offering a customizable smoking experience. Resourceful Stalkers appreciate its versatility, allowing them to roll cigarettes to their preferred size and strength.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Stimulant\n %c[d_green] • %c[pda_white] Alcohol Sobering Effect\n
st_bolt_carrier_6,Sliding Bolt Carrier with Locking Bolt (Carrier)
st_itm_advancedkit_name,Advanced Tools
mutant_boar_chop_description,A chunk of meat harvested from a mutant boar, tough and gamey but edible with proper cooking. Note that consuming uncooked mutant meat always carries the risk of contamination or radiation exposure.\n \n %c[ui_red]WARNING: Raw Meat\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Low-tier Mutant Meat\n %c[d_cyan] • %c[pda_white] Cookable\n
st_coffee_drink_descr,Fresh, ready-to-drink UCC Cold Brew coffee for a refreshing stamina boost without the need for preparation. Often enjoyed for its convenience and revitalizing effect.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Drink\n %c[d_green] • %c[pda_white] Stimulant\n %c[d_green] • %c[pda_white] Alcohol Sobering Effect\n
st_data_export_ammo_types_alt,Alt. ammo
exo_merc_urban_outfit_name,Mercenary Urban Exosuit
ammo-7.92x33_ap,7.92x57 mm AP rounds
gamma_fire_wound_cap,Ballistic Cap
l13_generators,Generators
st_af_fonar_name,Lamp
st_gamma_recipe_expert_1,Survival Guide Vol. 3
st_af_dragon_eye_name,Dragon's Eye
st_data_export_post_heal_torso,Post-Heal Torso
st_wpn_glock17,Glock 17
st_sausage_descr,Cured and smoked meat links, packed with robust flavor and protein. Their preservation method ensures longevity, making them a reliable food source in the Zone.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Food\n
mutant_psysucker_meat,Psysucker Meat
st_wpn_vz61_alt,Skorpion vz.68
cs_stalker_outfit_name,CS-2b Body Armor
st_wpn_adar2_15,ADAR 2-15
st_data_export_can_be_crafted,Can be crafted
merc_coyote_outfit_name,Mercenary MTS-C Body Suit
st_af_cristall_flower_name,Stone Flower
mutant_lurker_meat_description,Tough, sinewy meat carved from a Lurker, best suited for stew due to its rubbery consistency. Note that consuming uncooked mutant meat always carries the risk of contamination or radiation exposure.\n \n %c[ui_red]WARNING: Raw Meat\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] High-tier Mutant Meat\n %c[d_cyan] • %c[pda_white] Cookable\n
ui_inv_outfit_additional_weight,%c[0,255,255,255]Weight Carried:
st_powder_pistol,Pistol/Shotgun Propellant
st_af_ah_r5_descr,An artifact containing mostly plant matter found only in the Dead Forest, south of Lab X-9. It is believed that the strong psy-fields it was subjugated to during its formation heavily influenced its shape and properties. Wearing one seems to boost vitality.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Artefact\n
st_ration_ru,Russian IRP-B Combat Ration
st_prt_w_p_trigger_1,Single-action Trigger Mechanism (Trigger)
st_af_ah_s1_descr,An experimental and unstable artifact, created by artificial means. Where and under what circumstances it formed, is unknown. It seems to improve the natural healing process of the body via methods unknown to science.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Artefact\n
st_wpn_aks74_descr,Developed in the early 1970s by Mikhail Kalashnikov to replace the AKM, the AK-74 is an adaptation of the 7.62x39mm AKM assault rifle and features several important design improvements including the use of the newer, high velocity 5.45x39mm round. Compared with the preceding AKM, it has better effective firing range, accuracy and reliability. All AKS-74 rifles came with a side-folding metal shoulder stock.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Russia\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Izhmash\n
st_knife_swat_descr,A compact, automatic knife designed for rapid deployment and close-quarters engagements. Its spring-assisted mechanism allows for quick access, making it an effective tool for special forces and covert operations.\n \n %c[pda_white]PROPERTIES:\n %c[d_orange] • %c[pda_white] Use: %c[ui_gray_2]Field Dressing Mutants\n %c[d_cyan] • %c[pda_white] Melee Weapon\n %c[d_cyan] • %c[pda_white] Light Attack Power: %c[ui_gray_2]54\n %c[d_cyan] • %c[pda_white] Heavy Attack Power: %c[ui_gray_2]78\n %c[d_cyan] • %c[pda_white] Armor Penetration: %c[ui_gray_2]35\n %c[d_cyan] • %c[pda_white] Cuts Thick Mutant Skin?: %c[ui_green]YES\n %c[d_cyan] • %c[pda_white] Mutant Pelt Quality: %c[ui_gray_2]55% - 70%\n
st_wpn_pl15_pl15_scolaz,Lebedev PL-15 "Bearcat"
st_wpn_pm_actor,Makarov PM "Ceremonial"
mutant_heart_chimera,Chimera Heart
st_wpn_fnx45_custom,FNX-45
st_drug_booster,Hercules
merc_sun_outfit_name,"Twilight" Tactical Suit
st_grease,Industrial Grease
st_wpn_sig220_n_upg220_descr,Often considered the best out-of-the-box .45 caliber double-action pistol available, the P220 is known for accuracy that parallels that of competition handguns. An instant success, it has been adopted by the Swiss and Japanese SDF and many European police organizations. The "XXX" includes a threaded barrel, tritium iron sights, laser designator and 12-round magazine, among other various internal modifications.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]West Germany, Switzerland\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]SIG Sauer\n %c[d_orange] • %c[0,255,255,255] tactical kit upgrade\n
st_wpn_mp7_descr_new,A compact personal defense weapon designed for high mobility and effectiveness in close-quarters combat. Featuring a lightweight polymer frame, low recoil, and a high rate of fire, it allows for rapid target acquisition and superior control. Its modular design supports various attachments, making it a versatile choice for special forces, law enforcement, and security personnel.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]Germany\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Heckler & Koch\n
st_ball_hammer,Ball-peen Hammer
st_wpn_vz61_camo,Skorpion vz.68
st_wpn_ace52,Galil ACE-52
st_wpn_pmm_bas_descr,A redesign of the legendary Makarov, the PMM uses a 25% increase in gas pressure to significantly increase muzzle velocity and features a larger 12-round magazine while keeping the same simplicity, ease of manufacturing and accuracy of the PM. Though, even with these changes slightly bridging the gap between itself and modern pistols, it still loses out in terms of weight and general performance. This model features a threaded barrel.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Soviet Union\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Izhevsk Mechanical Plant\n
st_wpn_ak105,AK-105
st_knife_swat,Spetsnaz Switchblade
st_wpn_eft_rsh12_descr,The powerful RSh-12 (Revolver Shturmovoy 12 - "Assault Revolver 12") revolver, manufactured by KBP Instrument Design Bureau, designed for use by special forces. Despite the powerful 12.7x55 mm caliber, RSh-12 has less recoil than many other large-caliber revolvers and pistols, since the shot is fired from the bottom chamber of the cylinder. \n \n
st_wpn_akms_bas_descr,An improved version of the AK-47 rifle featuring detailed improvements and enhancements that optimized the rifle for mass production. Among these changes, the AKM's weight was reduced, the accuracy during automatic fire was increased and several reliability issues were addressed. All AKMS rifles came equipped with an under-folding metal shoulder stock in place of the fixed wooden stock.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Soviet Union\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Tula Arms Plant\n
st_af_electra_flash_name,Flash
st_wpn_pm_custom,Makarov PM
st_army_bowler,Army Kettle
st_wpn_ak74,AK-74N
st_wpn_mossberg590a1,Mossberg 590A1
st_prt_w_p_barrel_6,9x18mm Barrel (enclosed) (Barrel)
light_merc_outfit_name,Mercenary IBAz Suit
ammo-5.56x45-fmj,5.56x45 mm FMJ rounds
st_itm_mapkit_8,Anomaly Map (Garbage)
st_prt_o_ballistic_4,Kevlar K129 Plates w/ Carbon-fiber Composite
st_wpn_mossberg590a1_rail,Mossberg 590A1
st_wpn_svd_nimble_descr,One of the most iconic sniper rifles despite not technically being a sniper rifle, the SVD was intended to provide precise, suppressive fire on enemy positions as well as pick off high value targets. However, this squad-level DMR was eventually pressed into service as a sniper by those with access to nothing else. Relatively light, precise and well-balanced, it unfortunately loses out to dedicated sniper rifles in performance. Fit with a 1P59 "Hyperon" scope, the "Lynx" is a custom-built masterpiece befit for a marksman of equal prestige.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Soviet Union\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Kalashnikov Concern\n
st_prt_i_fasteners,Fasteners
st_headlamp,Broken Head Lamp
st_wpn_l85a2,L85A2
st_wpn_sks_b,SKS
l02_garbage,Garbage
st_prt_w_p_spring_1,9mm Recoil Spring Assembly [Soviet] (Spring)
light_freedom_outfit_name,Defender of Freedom
st_wpn_fort500_descr,A smoothbore, pump-action shotgun intended to arm the Ministry of Internal Affairs, security services of Ukraine and civilians for amateur hunting and general use purposes. At present, the FORT-500 rifle has been discontinued in favor of newer models more specifically built for law enforcement use.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Ukraine\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Fort NGO\n
st_antirad_cystamine,Cystamine
st_wpn_thompson_1921,Thompson Model 1921
st_tarpaulin,Tarpaulin
st_af_plates_up_name,Improved Carbon Steel Plates
st_wpn_ak74u_old,AK-74U
st_af_ah_o1,Magnet
st_prop_silencer,Silencer affinity
st_af_ah_g2,Easy
